Frequency (Hz)	Level (dB)
20844.140625	-124.857788
20930.273438	-125.871010
21016.406250	-126.809143
21102.539062	-126.894699
21188.671875	-125.789986
21274.804688	-125.758080
21360.937500	-127.624191
21447.070312	-130.919724
21533.203125	-132.359222
21619.335938	-130.254807
21705.468750	-129.985168
21791.601562	-136.479462
21877.734375	-146.838882
21963.867188	-160.305496
