Frequency (Hz)	Level (dB)
8010.351562	-97.203880
8096.484375	-97.149696
8182.617188	-97.161003
8268.750000	-97.289055
8354.882812	-97.156708
8441.015625	-97.786942
8527.148438	-98.624481
8613.281250	-98.430031
8699.414062	-97.646744
8785.546875	-97.566734
8871.679688	-97.651382
8957.812500	-98.266319
9043.945312	-99.196526
9130.078125	-99.958542
9216.210938	-100.190239
9302.343750	-100.383858
9388.476562	-100.628838
9474.609375	-101.205284
9560.742188	-101.558365
9646.875000	-101.331123
9733.007812	-102.206543
9819.140625	-102.320175
9905.273438	-102.089180
9991.406250	-102.384384
10077.539062	-102.953773
10163.671875	-103.660568
10249.804688	-103.677940
10335.937500	-103.652893
10422.070312	-103.479935
10508.203125	-103.709328
10594.335938	-104.311516
10680.468750	-104.411079
10766.601562	-104.437546
10852.734375	-104.419250
10938.867188	-103.958260
11025.000000	-104.289551
11111.132812	-104.344818
11197.265625	-104.525009
11283.398438	-104.610451
11369.531250	-104.349197
11455.664062	-104.531548
11541.796875	-104.923332
11627.929688	-105.451195
11714.062500	-105.393616
11800.195312	-105.353333
11886.328125	-105.153351
11972.460938	-105.777298
12058.593750	-106.147911
12144.726562	-105.985611
12230.859375	-105.447639
12316.992188	-105.989098
12403.125000	-106.423119
12489.257812	-106.440041
12575.390625	-106.261284
12661.523438	-106.580093
12747.656250	-106.566498
12833.789062	-106.941887
12919.921875	-107.497856
13006.054688	-107.496902
13092.187500	-107.767899
13178.320312	-107.479050
13264.453125	-107.337273
13350.585938	-106.648064
13436.718750	-106.816299
13522.851562	-106.959587
13608.984375	-106.422424
13695.117188	-107.004669
13781.250000	-107.728096
13867.382812	-107.272408
13953.515625	-107.067390
14039.648438	-107.392464
14125.781250	-107.408821
14211.914062	-107.776512
14298.046875	-107.492752
14384.179688	-106.841690
14470.312500	-106.418701
14556.445312	-106.899109
14642.578125	-107.369637
14728.710938	-107.151176
14814.843750	-106.727989
14900.976562	-106.588974
14987.109375	-106.583855
15073.242188	-105.917740
15159.375000	-105.470123
15245.507812	-105.456993
15331.640625	-104.511467
15417.773438	-104.283134
15503.906250	-104.697304
15590.039062	-105.359993
15676.171875	-105.040489
15762.304688	-104.219482
15848.437500	-104.435783
15934.570312	-105.425301
16020.703125	-106.752342
16106.835938	-107.016853
16192.968750	-107.217155
16279.101562	-107.608864
16365.234375	-107.281174
16451.367188	-107.895912
16537.500000	-109.852310
16623.632812	-110.213058
16709.765625	-109.469994
16795.898438	-109.151497
16882.031250	-110.318687
16968.164062	-110.229958
17054.296875	-109.514786
17140.429688	-109.225182
17226.562500	-108.894493
17312.695312	-108.065094
17398.828125	-108.493126
17484.960938	-109.778893
17571.093750	-110.653091
17657.226562	-109.477097
17743.359375	-108.885574
17829.492188	-109.609200
17915.625000	-110.242523
18001.757812	-109.425331
18087.890625	-108.619690
18174.023438	-107.204849
18260.156250	-108.130112
18346.289062	-109.793648
18432.421875	-110.576500
18518.554688	-111.741676
18604.687500	-113.207115
18690.820312	-113.008888
18776.953125	-113.236397
18863.085938	-115.263245
18949.218750	-117.154312
19035.351562	-118.357124
19121.484375	-119.237923
19207.617188	-120.837891
19293.750000	-122.388802
19379.882812	-122.846115
19466.015625	-123.583565
19552.148438	-125.403900
19638.281250	-126.650681
19724.414062	-126.260689
19810.546875	-125.605957
19896.679688	-125.212349
19982.812500	-127.407219
20068.945312	-130.733261
20155.078125	-132.206680
20241.210938	-133.780167
20327.343750	-134.883026
20413.476562	-136.397949
20499.609375	-137.888580
20585.742188	-138.900375
20671.875000	-137.632919
20758.007812	-137.073090
20844.140625	-135.286392
20930.273438	-131.786942
21016.406250	-129.543793
21102.539062	-129.554550
21188.671875	-131.458527
21274.804688	-133.337280
21360.937500	-133.727371
21447.070312	-133.311508
21533.203125	-132.479492
21619.335938	-134.874939
21705.468750	-137.708450
21791.601562	-145.323730
21877.734375	-156.873367
21963.867188	-166.517044
