Frequency (Hz)	Level (dB)
13695.117188	-105.334854
13781.250000	-105.890411
13867.382812	-105.561798
13953.515625	-105.133759
14039.648438	-105.438110
14125.781250	-105.859001
14211.914062	-105.896812
14298.046875	-105.318916
14384.179688	-105.139046
14470.312500	-105.040741
14556.445312	-105.057495
14642.578125	-105.420578
14728.710938	-105.736389
14814.843750	-105.420334
14900.976562	-105.310127
14987.109375	-104.706291
15073.242188	-104.347694
15159.375000	-104.217239
15245.507812	-104.467758
15331.640625	-104.135239
15417.773438	-103.906593
15503.906250	-104.072792
15590.039062	-104.517921
15676.171875	-103.608315
15762.304688	-103.143181
15848.437500	-102.750252
15934.570312	-103.302628
16020.703125	-104.222855
16106.835938	-105.156990
16192.968750	-105.650665
16279.101562	-105.614883
16365.234375	-105.394188
16451.367188	-106.642487
16537.500000	-107.267204
16623.632812	-107.859962
16709.765625	-108.476791
16795.898438	-108.469582
16882.031250	-108.354759
16968.164062	-107.826180
17054.296875	-107.676979
17140.429688	-107.039742
17226.562500	-106.919922
17312.695312	-107.711746
17398.828125	-107.349716
17484.960938	-108.252914
17571.093750	-108.815620
17657.226562	-107.767830
17743.359375	-106.914894
17829.492188	-107.374947
17915.625000	-108.393677
18001.757812	-108.450905
18087.890625	-107.605827
18174.023438	-106.973129
18260.156250	-106.560135
18346.289062	-107.325127
18432.421875	-108.665749
18518.554688	-109.258827
18604.687500	-110.954277
18690.820312	-111.982491
18776.953125	-112.969948
18863.085938	-114.812462
18949.218750	-115.784164
19035.351562	-115.811249
19121.484375	-116.956909
19207.617188	-117.935310
19293.750000	-117.528923
19379.882812	-117.285126
19466.015625	-116.603119
19552.148438	-119.536346
19638.281250	-119.952927
19724.414062	-122.015678
19810.546875	-122.610916
19896.679688	-121.011261
19982.812500	-120.869377
20068.945312	-123.722878
20155.078125	-128.187500
20241.210938	-129.574554
20327.343750	-131.327255
20413.476562	-133.037613
20499.609375	-131.849991
20585.742188	-131.978928
20671.875000	-133.108398
20758.007812	-131.161041
20844.140625	-130.784317
20930.273438	-130.945984
21016.406250	-131.214645
21102.539062	-131.826309
21188.671875	-131.310760
21274.804688	-130.658691
21360.937500	-131.180542
21447.070312	-132.637405
21533.203125	-132.470367
21619.335938	-130.359543
21705.468750	-131.846649
21791.601562	-141.778076
21877.734375	-155.880066
21963.867188	-166.744537
