Frequency (Hz)	Level (dB)
15590.039062	-103.107498
15676.171875	-103.191177
15762.304688	-102.588280
15848.437500	-103.945763
15934.570312	-104.796883
16020.703125	-104.396088
16106.835938	-104.064865
16192.968750	-103.507988
16279.101562	-102.779358
16365.234375	-101.045570
16451.367188	-100.729393
16537.500000	-101.457184
16623.632812	-100.445839
16709.765625	-98.994286
16795.898438	-97.598236
16882.031250	-96.167297
16968.164062	-96.832146
17054.296875	-98.180588
17140.429688	-97.618950
17226.562500	-98.253738
17312.695312	-100.841995
17398.828125	-103.686752
17484.960938	-103.307304
17571.093750	-100.627983
17657.226562	-99.447266
17743.359375	-99.895706
17829.492188	-100.643570
17915.625000	-99.523643
18001.757812	-97.874580
18087.890625	-97.481766
18174.023438	-99.417862
18260.156250	-99.208977
18346.289062	-98.737823
18432.421875	-99.358040
18518.554688	-99.701675
18604.687500	-98.659233
18690.820312	-97.785736
18776.953125	-98.229866
18863.085938	-100.597939
18949.218750	-103.819366
19035.351562	-106.663712
19121.484375	-105.871590
19207.617188	-105.166023
19293.750000	-107.127617
19379.882812	-108.513412
19466.015625	-107.209389
19552.148438	-108.254684
19638.281250	-111.197472
19724.414062	-114.270073
19810.546875	-117.825752
19896.679688	-115.069351
19982.812500	-113.497505
20068.945312	-116.024162
20155.078125	-117.911797
20241.210938	-116.193130
20327.343750	-117.759331
20413.476562	-121.020157
20499.609375	-119.729126
20585.742188	-118.677742
20671.875000	-121.913292
20758.007812	-126.566544
20844.140625	-131.011414
20930.273438	-127.218102
21016.406250	-127.684746
21102.539062	-132.433121
21188.671875	-134.539474
21274.804688	-133.153778
21360.937500	-133.341034
21447.070312	-134.986237
21533.203125	-138.303970
21619.335938	-140.931824
21705.468750	-143.625549
21791.601562	-150.421982
21877.734375	-160.108231
21963.867188	-171.620728
